question,candidates,llm_final_match
Does the entity have a whistleblower policy,"['Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Initially Applied Ind A Ss Domain', 'Assurer Has Assured Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Revenues From Transactions With Other Operating Segments Of The Same Entity', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Remarks For Assurance Of Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
Does the entity have an anti corruption or anti bribery policy,"['Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period', 'Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block', 'Revenues From Transactions With Other Operating Segments Of The Same Entity']",
"Does the entity have any sites/facilities identified as designated consumers under the Performance, Achieve and Tade Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved in case targets have not been achieved, provide the remedial action taken, if any","['Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India', 'Disclose Whether Targets Set Under The Pat Scheme Have Been Achieved In Case Targets Have Not Been Achieved Then Provide The Remedial Action Taken Explanatory Text Block', 'Number Of Employees In The Company At The End Of The Financial Year', 'Whether Any Borrowing Costs Has Been Capitalised During The Year']",
Does the entity have procedures in place for sustainable sourcing strategy around sustainable/efficient/responsible supply chain,"['Principal Place Of Business Of Entity Whose Consolidated Financial Statements Have Been Produced For Public Use', 'Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably', 'Information About Ultimate Risk Management Strategy In Relation To Hedging Relationships That Entity Frequently Resets', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the entity have stewardship code,"['Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle6 Member', 'Product Or Service Category ITC4 Digit Code', 'Revenues From Transactions With Other Operating Segments Of The Same Entity', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
"Does the entity have system/mechanism in place to address issues (congestion, indoor coverage, call drops, modernisation and upgrade of data speeds, among others)","['Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Complete Postal Address Of Place Of Maintenance Of Computer Servers Storing Accounting Data', 'Does The Entity Have Procedures In Place For Sustainable Sourcing', 'Remarks For Assurance Of The Internal Mechanisms In Place To Redress Grievances Related To Human Rights Issues', 'Principal Place Of Business Of Entity Whose Consolidated Financial Statements Have Been Produced For Public Use', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board']",
Does the entity implement carbon pricing mechanism/model?,"['Number Of Days Of Accounts Payable - Previous Year', 'Number Of Days Of Accounts Payable', 'Depreciation Method Investment Property Cost Model', 'Description Of Other Inputs To Options Pricing Model Share Options Granted', 'Revenues From Transactions With Other Operating Segments Of The Same Entity']",
Does the organisation conduct training on data privacy and awareness programs for information security to its customers/employees,"['Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Web Link Of The Policy On Cyber Security And Risks Related To Data Privacy', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Information About Major Customers']",
Does the organisation have Board Diversity Policy,"['Date Of Signing Board Report', 'Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Directors Signing Board Report Domain', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board', 'Remarks For Assurance Of Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues']",
Does the organisation have opportunities for Paternal leavesWhat all initiatives does the organisation undertake for increase in the retention rate of employees,"['Number Of Employees In The Company At The End Of The Financial Year', 'The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle9 Member', 'Retention Rates Permanent Employees That Took Parental Leave - Gender Member', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Retention Rates Permanent Employees That Took Parental Leave - Female Member', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the organisation report on CDP Disclosure as per Climate Change Module,"['Type Of Assurance For Section AGeneral Disclosures', 'Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Profit Loss For The Period As Per Ind As', 'Profit Loss For The Period As Per Indian Gaap', 'Disclosure In Auditors Report Explanatory', 'Type Of Assurance For Governance Leadership And Oversight']",
Does your company have a publicly available no deforestation policy or commitment that applies to your company’s operational practices,"['Whether Company Has Written CSR Policy', 'Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Whether Information Available In Public Domain - Public Policy2', 'Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3', 'Statement That Remuneration Is As Per Remuneration Policy Of Company']",
Does your company offer eSG based products within its non life non health insurance business segment,"['Details Of Your Entitys Policy Or Policies Has Not Applicable Each Principle And Its Core Elements Of The NGRBCs Explanatory Text Block - Principle2 Member', 'Other Non Hazardous Waste Generated', 'Whether There Are Non Adjusting Events After Reporting Period', 'Non Controlling Interest', 'Details Of Your Entitys Policy Or Policies Has Not Applicable Each Principle And Its Core Elements Of The NGRBCs Explanatory Text Block - Principle6 Member', 'Details Of Your Entitys Policy Or Policies Has Not Applicable Each Principle And Its Core Elements Of The NGRBCs Explanatory Text Block - Principle5 Member']",
Existence of management process for ensuring quality and patient safety during clinical trials,"['Type Of Assurance For Policy And Management Processes', 'Safety Security Expenses', 'Type Of Assurance For Section BManagement And Process Disclosures', 'Notes Management And Process Disclosures Explanatory Text Block', 'Description Of Nature Of Regulatory Ratesetting Process', 'Remarks For Assurance Of Health And Safety Management System']",
